,book,chapter_number,chapter_name,verse_or_hadith_number,arabic_text
0,Quran,1,الفاتحة - Al-Fatihah,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
1,Quran,1,الفاتحة - Al-Fatihah,2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ
2,Quran,1,الفاتحة - Al-Fatihah,3,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
3,Quran,1,الفاتحة - Al-Fatihah,4,مَٰلِكِ يَوْمِ ٱلدِّينِ
4,Quran,1,الفاتحة - Al-Fatihah,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
5,Quran,1,الفاتحة - Al-Fatihah,6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ
6,Quran,1,الفاتحة - Al-Fatihah,7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ
7,Quran,2,البقرة - Al-Baqarah,1,الٓمٓ
8,Quran,2,البقرة - Al-Baqarah,2,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ
9,Quran,2,البقرة - Al-Baqarah,3,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ
10,Quran,2,البقرة - Al-Baqarah,4,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ
